OBJECTID,ResourceAgencyNum,PublicName,AlternateName,HdNumNew,HDNAMENEW,Category,MERGE_SRC,HoodName,HoodID
3596,71449133,"Legal Aid Ontario - Family Law Service Centre, Toronto North",LAO; Ontario Legal Aid,153,Avondale,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Willowdale East,51
3597,69795661,Legal Aid Ontario - GTA District Legal Aid Office,LAO; Ontario Legal Aid; Toronto Legal Aid Office,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3598,69795649,"Legal Aid Ontario - Legal Aid Ontario, Provincial Head Office",CV19; LAO; Ontario Legal Aid,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3599,69800677,Legal Line - Legal Line,Legalline,107,Oakwood Village,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Oakwood Village,107
3600,70750073,Legal Line - Legal Line,Legalline,107,Oakwood Village,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Oakwood Village,107
3601,69799075,Link Coalition Toronto - SafePet Program,Link T.O.,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3602,69799623,Lumenus Community Services - West End Services for Abuse and Trauma (WESAT),CV19; ECC; Etobicoke Sexual Abuse Treatment Program; Female Adult Survivors Program; Sexual Abuse Treatment Program; WESAT,7,Willowridge-Martingrove-Richview,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Willowridge-Martingrove-Richview,7
3603,69799186,Maison d'hébergement pour femmes francophones - Maison d'hébergement pour femmes francophones,CBX2; CV19; Hébergement pour femmes francophones; La Maison,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3604,69798682,MCIS Language Solutions - MCIS Language Solutions,HT1,44,Flemingdon Park,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Flemingdon Park,44
3605,69795778,METRAC - METRAC,HT2; METRAC Action on Violence; Multicultural Women's Coalition Against Violence and Oppression; Ontario Women's Justice Network; OWJN; Womens Justice Network,95,Annex,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Annex,95
3606,69799606,National Canadian Lawyers' Initiative - National Canadian Lawyers' Initiative,COVID-19 National Canadian Lawyers' Initiative; CV19; NCLI,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3607,69796015,National Council of Jewish Women of Canada - Project LISA - Legal Information Support Access,CV19; NCJW; NCJWC; Project Legal Information Services and Assistance,34,Bathurst Manor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bathurst Manor,34
3608,69796058,Neighbourhood Legal Services - Neighbourhood Legal Services,CV19; NLS,73,Moss Park,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Moss Park,73
3609,72776345,North York Women's Shelter - North York Women's Shelter,CBX2; NYWS,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3610,69800203,Oasis Centre des femmes - Oasis Centre des femmes,Action Femmes; Centre des femmes; CV19; ELAN; Family Court Support Worker Program; FCSWP; HT1; Oasis Women's Centre; Sexual Assault Centre; Women's Centre,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3611,69798963,Office of the Independent Police Review Director - Office of the Independent Police Review Director,CV19; OIPRD,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3612,69796190,Ontario Association of Interval and Transition Houses - Ontario Association of Interval and Transition Houses,OAITH,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3613,69799723,Ontario Civilian Police Commission - Ontario Civilian Police Commission,Civilian Commission on Police Services; Commission on Police Services; Ministry of the Attorney General; OCPC; Safety Licencing Appeals and Standards Tribunals Ontario; SLASTO,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3614,69796244,Ontario Human Rights Commission - Ontario Human Rights Commission,Accessibility for Ontarians with Disabilities Act; AODA; Human Rights Commission; Ministry of the Attorney General; OHRC; Ontario Human Rights System; Working Together,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3615,69796258,Ontario Labour Relations Board - Ontario Labour Relations Board,"CV19; OLRB; Ontario. Labour Relations Board; Ontario. Ministry of Labour, Training and Skills Development. Labour Relations Board",170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3616,69796256,Ontario Labour Relations Board - Pay Equity Hearings Tribunal,"CV19; OLRB; Ontario. Labour Relations Board; Ontario. Ministry of Labour, Training and Skills Development",170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3617,69799162,Ontario Network of Sexual Assault / Domestic Violence Treatment Centres - COVID19 Service Navigation Line,CBX2; CV19; DVTC; Network of Domestic Violence Treatment Centres; Network of Sexual Assault Treatment Centres; SADV; SATC,169,Bay-Cloverhill,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3618,69796351,Ontario Provincial Police [Toronto-Peel region] - Toronto Detachment,OPP,154,Oakdale-Beverley Heights,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Downsview-Roding-CFB,26
3619,69794132,Ontario Special Education Tribunal - Ontario Special Education Tribunal,Ontario Special Education (English) Tribunal; OSET; Social Justice Tribunals Ontario,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3620,69796365,Ontario. Ministry of the Attorney General - Independent Legal Advice for Sexual Assault Survivors Program,ILA; MAG,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3621,69799237,Ontario. Ministry of the Attorney General - Support Services for Male Survivors of Sexual Abuse Program,CBX2; HT1; MAG; Male Survivor Helpline; Male Survivors of Sexual Abuse Line; Male Survivors of Sexual Abuse Provincial Crisis and Referral Line; Ministry of the Attorney General; Support Services Network for Male Survivors in Ontario; Victims and Vulnerable Persons Division,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3622,69798721,"Ontario. Ministry of the Attorney General - Victim / Witness Assistance Program, Etobicoke",HT1; MAG; Victim Assistance Program; Victim Witness Assistance Program; Vulnerable Victims and Family Fund; VVFF; VWAP,22,Humbermede,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Humbermede,22
3623,69798727,"Ontario. Ministry of the Attorney General - Victim / Witness Assistance Program, North York",HT1; MAG; Victim Assistance Program; Victim Witness Assistance Program; Vulnerable Victims and Family Fund; VVFF; VWAP,27,York University Heights,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,York University Heights,27
3624,69798724,"Ontario. Ministry of the Attorney General - Victim / Witness Assistance Program, Scarborough",HT1; MAG; Victim Assistance Program; Victim Witness Assistance Program; Vulnerable Victims and Family fund; VVFF; VWAP,120,Clairlea-Birchmount,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Clairlea-Birchmount,120
3625,69798718,"Ontario. Ministry of the Attorney General - Victim / Witness Assistance Program, Special Prosecutions / Guns and Gangs",Guns and Gangs; HT1; MAG; Victim Witness Assistance Program; Victims Assistance Program; Vulnerable Victims and Family Fund; VVFF; VWAP,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3626,69798736,"Ontario. Ministry of the Attorney General - Victim / Witness Assistance Program, Toronto, College Park",HT1; MAG; Victim Assistance Program; Victim Witness Assistance Program; Vulnerable Victims and Family Fund; VVFF; VWAP,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3627,69798715,"Ontario. Ministry of the Attorney General - Victim / Witness Assistance Program, Toronto, Court of Appeal of Ontario",College Park; CV19; HT1; MAG; Victim Assistance Program; Victim Witness Assistance Program; Vulnerable Victims and Family Fund; VVFF; VWAP,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3628,69798730,"Ontario. Ministry of the Attorney General - Victim / Witness Assistance Program, Toronto, Old City Hall",HT1; MAG; Victim Assistance Program; Victim Witness Assistance Program; Vulnerable Victims and Family Fund; VVFF; VWAP,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3629,69798712,"Ontario. Ministry of the Attorney General - Victim / Witness Assistance Program, Toronto, Ontario Review Board",CV19; HT1; MAG; Victim Assistance Program; Victim Witness Assistance Program; Vulnerable Victims and Family Fund; VVFF; VWAP,154,Oakdale-Beverley Heights,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Downsview-Roding-CFB,26
3630,69798733,"Ontario. Ministry of the Attorney General - Victim / Witness Assistance Program, Toronto, Superior Court of Justice",HT1; MAG; Victim Assistance Program; Victim Witness Assistance Program; Vulnerable Victims and Family Fund; VVFF; VWAP,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3631,69798709,"Ontario. Ministry of the Attorney General - Victim / Witness Assistance Program, Toronto, Youth Court",HT1; MAG; Victim Assistance Program; Victim Witness Assistance Program; Vulnerable Victims and Family Fund; VVFF; VWAP,73,Moss Park,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Moss Park,73
3632,69796846,"Ontario. Ministry of the Attorney General, Court Services - Juror Support Program",MAG,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3633,69796861,"Ontario. Ministry of the Attorney General, Court Services - Ontario Court of Justice, Criminal Court, Metro Central (College Park)",CV19; Justice of the Peace; MAG; Ministry of the Attorney General,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3634,69796849,"Ontario. Ministry of the Attorney General, Court Services - Ontario Court of Justice, Criminal Court, Metro Central (Old City Hall)",CV19; Justice of the Peace; MAG; Ministry of the Attorney General,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3635,69796867,"Ontario. Ministry of the Attorney General, Court Services - Ontario Court of Justice, Criminal Court, Metro East",CV19; Justice of the Peace; MAG; Ministry of the Attorney General,120,Clairlea-Birchmount,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Clairlea-Birchmount,120
3636,69796870,"Ontario. Ministry of the Attorney General, Court Services - Ontario Court of Justice, Criminal Court, Metro North",CV19; Justice of the Peace; MAG; Ministry of the Attorney General,27,York University Heights,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,York University Heights,27
3637,69796873,"Ontario. Ministry of the Attorney General, Court Services - Ontario Court of Justice, Criminal Court, Metro West",CV19; Justice of the Peace; MAG; Ministry of the Attorney General; Toronto West Court,22,Humbermede,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Humbermede,22
3638,69796876,"Ontario. Ministry of the Attorney General, Court Services - Superior Court of Justice, Assessment Office",MAG,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3639,69796843,"Ontario. Ministry of the Attorney General, Court Services - Superior Court of Justice, Bankruptcy Court / Commercial List Office",Bankruptcy Court; Commercial List Office; CV19; MAG,78,Kensington-Chinatown,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Kensington-Chinatown,78
3640,69796852,"Ontario. Ministry of the Attorney General, Court Services - Superior Court of Justice, Criminal Court",CV19; MAG; Ministry of the Attorney General; Toronto District Court,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3641,69796840,"Ontario. Ministry of the Attorney General, Court Services - Superior Court of Justice, Estates Administration",CV19; MAG,78,Kensington-Chinatown,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Kensington-Chinatown,78
3642,69796855,"Ontario. Ministry of the Attorney General, Court Services - Superior Court of Justice, Family Court",CV19; Family Law Information Centre; FLIC; MAG; Ministry of the Attorney General,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3643,69796879,"Ontario. Ministry of the Attorney General, Court Services - Superior Court of Justice, Toronto Region Office, Enforcement",MAG; Ministry of the Attorney General; Sheriff,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3644,69796858,"Ontario. Ministry of the Attorney General, Court Services - Superior Court of Justice, Toronto Small Claims Court",CV19; MAG; Ministry of the Attorney General,153,Avondale,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Willowdale East,51
3645,69796834,"Ontario. Ministry of the Attorney General, Court Services - Toronto Region",CV19; MAG; Ministry of the Attorney General; Ontario Court of Justice; Superior Court of Justice,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3646,69797815,Ontario. Ministry of the Attorney General. Justice Ontario - Ontario. Ministry of the Attorney General. Justice Ontario,MAG; Ministry of the Attorney General,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3647,69796826,Ontario. Ministry of the Attorney General. Office of the Public Guardian and Trustee - Ontario. Ministry of the Attorney General. Office of the Public Guardian and Trustee,MAG; Ministry of the Attorney General; Office of the Public Trustee; Ontario. Office of the Public Guardian and Trustee; Ontario. Public Guardian and Trustee; OPGT; Public Guardian and Trustee; Public Trustee; Victims and Vulnerable Persons Division,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3648,70089563,Ontario. Ministry of the Solicitor General - Office of the Chief Coroner,Central Region Regional Supervising Coroner Offices; Coroner's Office; MCSCS; Ontario. Ministry of Community Safety and Correctional Services. Chief Coroner,154,Oakdale-Beverley Heights,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Downsview-Roding-CFB,26
3649,70089559,Ontario. Ministry of the Solicitor General - Ontario. Ministry of the Solicitor General,Correctional Services,169,Bay-Cloverhill,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3650,70089599,"Ontario. Ministry of the Solicitor General - Probation and Parole, Black Creek",MCSCS,25,Glenfield-Jane Heights,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Glenfield-Jane Heights,25
3651,70089602,"Ontario. Ministry of the Solicitor General - Probation and Parole, College Park Court",MCSCS,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3652,70089587,"Ontario. Ministry of the Solicitor General - Probation and Parole, Danforth",MCSCS,121,Oakridge,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Oakridge,121
3653,70089590,"Ontario. Ministry of the Solicitor General - Probation and Parole, Don Mills",Common Services Unit; MCSCS,43,Victoria Village,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Victoria Village,43
3654,70089593,"Ontario. Ministry of the Solicitor General - Probation and Parole, Etobicoke North",MCSCS,1,West Humber-Clairville,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,West Humber-Clairville,1
3655,70089566,"Ontario. Ministry of the Solicitor General - Probation and Parole, Etobicoke South",MCSCS,159,Etobicoke City Centre,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Islington-City Centre West,14
3656,70089596,"Ontario. Ministry of the Solicitor General - Probation and Parole, Jane Street",MCSCS,28,Rustic,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Rustic,28
3657,70089550,"Ontario. Ministry of the Solicitor General - Probation and Parole, Jane Street, Metro North Court",MCSCS,27,York University Heights,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,York University Heights,27
3658,70089556,"Ontario. Ministry of the Solicitor General - Probation and Parole, Old City Hall",MCSCS,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3659,70089581,"Ontario. Ministry of the Solicitor General - Probation and Parole, Parkdale",MCSCS,86,Roncesvalles,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Roncesvalles,86
3660,70089578,"Ontario. Ministry of the Solicitor General - Probation and Parole, Riverdale",MCSCS,73,Moss Park,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Moss Park,73
3661,70089584,"Ontario. Ministry of the Solicitor General - Probation and Parole, Scarborough",MCSCS,119,Wexford/Maryvale,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Wexford/Maryvale,119
3662,70089547,"Ontario. Ministry of the Solicitor General - Probation and Parole, Scarborough Court",MCSCS,120,Clairlea-Birchmount,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Clairlea-Birchmount,120
3663,70089553,"Ontario. Ministry of the Solicitor General - Probation and Parole, Toronto West Court",MCSCS,22,Humbermede,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Humbermede,22
3664,70089575,"Ontario. Ministry of the Solicitor General - Probation and Parole, Yonge Street",MCSCS,95,Annex,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Annex,95
3665,70089572,Ontario. Ministry of the Solicitor General - Toronto East Detention Centre,East Detention Centre; MCSCS,120,Clairlea-Birchmount,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Clairlea-Birchmount,120
3666,70089569,Ontario. Ministry of the Solicitor General - Toronto South Detention Centre,MCSCS; Mimico Correctional Centre,160,Mimico-Queensway,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Mimico,17
3667,69796819,"Ontario. Office of the Worker Adviser - Ontario. Office of the Worker Adviser, Downsview Office","CV19; Ontario. Ministry of Labour, Training and Skills Development; Ontario. Office of the Worker Advisor; OWA",154,Oakdale-Beverley Heights,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Downsview-Roding-CFB,26
3668,69796816,"Ontario. Office of the Worker Adviser - Ontario. Office of the Worker Adviser, Scarborough Office","CV19; Ontario. Ministry of Labour, Training and Skills Development; Ontario. Office of the Worker Advisor; OWA",146,Malvern East,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Malvern,132
3669,69796813,"Ontario. Office of the Worker Adviser - Ontario. Office of the Worker Adviser, Toronto Main Office","CV19; Ontario. Ministry of Labour, Training and Skills Development; Ontario. Office of the Worker Advisor; OWA",170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3670,69796973,Operation Springboard - Adult Justice Programs,CV19; ICWP; Intermittent Community Work Program; Stop Shop Theft Program,83,Dufferin Grove,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Dufferin Grove,83
3671,69796961,"Operation Springboard - Court Services, Old City Hall",CV19,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3672,69796943,"Operation Springboard - Court Services, Scarborough Court",CV19,120,Clairlea-Birchmount,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Clairlea-Birchmount,120
3673,69796937,Operation Springboard - Operation Springboard,CV19; Hub Community Learning; Springboard Services,167,Church-Wellesley,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Church-Yonge Corridor,75
3674,69799198,Parachute - Parachute,Parachute Canada,173,North Toronto,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Mount Pleasant West,104
3675,69796997,Parkdale Community Legal Services - Parkdale Community Legal Services,CV19; PCLS,85,South Parkdale,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,South Parkdale,85
3676,69800965,Pro Bono Ontario - Medical Legal Partnership for Children,PBLO; PBO,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3677,69800967,Pro Bono Ontario - Pro Bono Ontario,CV19; PBLO; PBO,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3678,69800511,Project Esperance - Project Esperance,Esperance; Project Hope,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3679,69798137,Red Door Family Shelter - Red Door Family Shelter,CBX2; CV19; Moving Program; Red Door Shelter; WoodGreen Family Shelter,65,Greenwood-Coxwell,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Greenwood-Coxwell,65
3680,69798135,Red Door Family Shelter - Red Door VAW Shelter,"CBX2; CV19; Pines, The; Red Door Abused Women's Shelter; Red Door Shelter; Red Door Violence Against Women Shelter; Red Door Wolverleigh; VAW Shelter; Violence Against Women Shelter; WoodGreen Family Shelter",65,Greenwood-Coxwell,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Greenwood-Coxwell,65
3681,69799785,Redwood Shelter - Redwood Shelter,CBX2; CV19; Redwood Womens Shelter; Redwood Women's Shelter; The Redwood,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3682,69799803,Rexdale Community Legal Clinic - Rexdale Community Legal Clinic,CV19; RCLS; Rexdale Community Hub; Rexdale Multiservice Hub,2,Mount Olive-Silverstone-Jamestown,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Mount Olive-Silverstone-Jamestown,2
3683,69797114,Rexdale Women's Centre - Partner Abuse Response Program,CV19; PAR; Partner Assault Response Program; Rexdale Womens Centre; RWC; Thistletown Multi Service Centre,3,Thistletown-Beaumond Heights,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Thistletown-Beaumond Heights,3
3684,69800417,Rittenhouse - Rittenhouse,New Vision of Transformative Justice; Rittenhouse - A New Vision,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3685,69797180,"Salvation Army, Correctional and Justice Services - Bunton Lodge","Anger and Relationship Program; Anger Management Program; Community Service Order Program; CV19; Road Rage, A Program for Change; Salvation Army. Chaplaincy Services; Theft Intervention Program",71,Cabbagetown-South St.James Town,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Cabbagetown-South St.James Town,71
3686,69797172,"Salvation Army, Correctional and Justice Services - Salvation Army, Correctional and Justice Services","Anger and Relationship Program; Anger Management Program; Community Service Order Program; CV19; Road Rage, A Program for Change; Salvation Army. Chaplaincy Services; Theft Intervention Program",1,West Humber-Clairville,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,West Humber-Clairville,1
3687,69797178,"Salvation Army, Correctional and Justice Services - WP Archibald Community Residential Centre",Archibald Community Residential Centre,71,Cabbagetown-South St.James Town,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Cabbagetown-South St.James Town,71
3688,69797175,"Salvation Army, Correctional and Justice Services - WPA Harbour Light Community Residential Centre","Anger and Relationship Program; Anger Management Program; Community Service Order Program; CV19; Road Rage, A Program for Change; Salvation Army. Chaplaincy Services; Theft Intervention Program",168,Ryerson,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Church-Yonge Corridor,75
3689,73467883,"Salvation Army, Housing and Homelessness Services - Evangeline Residence",CBX2; CV19; Evangeline Shelter,90,Junction Area,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Junction Area,90
3690,71449064,Scarborough Community Legal Services - Scarborough Community Legal Services,CV19; SCLS,141,Golfdale-Woburn,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Woburn,137
3691,72611401,Scarborough Women's Centre - Scarborough Women's Centre,CV19; Building Strong Futures (BSF); Sisters Assisting Sisters of Scarborough (SASS); Expanding the Reach,142,Woburn North,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Woburn,137
3692,69797043,Shelter Movers - Shelter Movers,CV19,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3693,69797362,Society of Saint Vincent de Paul - Prison Apostolate / Court Services,Court Services; Prison Apostolate; Society of St Vincent de Paul; SSVP; St Vincent de Paul Society; SVDP,168,Ryerson,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Church-Yonge Corridor,75
3694,69801471,South Asian Legal Clinic of Ontario - South Asian Legal Clinic of Ontario,CV19; HT1; HT2; SALC; SALCO,153,Avondale,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Willowdale East,51
3695,69797414,South Etobicoke Community Legal Services - South Etobicoke Community Legal Services,CV19,159,Etobicoke City Centre,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Islington-City Centre West,14
3696,69796172,Technical Standards and Safety Authority - Technical Standards and Safety Authority,SafetyInfo.ca; Technical Standards & Safety Authority; TSSA; TSSA Ombudsman Office,1,West Humber-Clairville,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,West Humber-Clairville,1
3697,69799562,Thunder Women Healing Lodge Society - Thunder Women Healing Lodge Society,CV19; TWHLS,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3698,69797674,Toronto Bail Program - Family Court / Youth Criminal Justice Court,Bail Program,73,Moss Park,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Moss Park,73
3699,69797671,"Toronto Bail Program - Toronto Bail Program, Metro Central (College Park)",Bail Program,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3700,69797668,"Toronto Bail Program - Toronto Bail Program, Metro East",Bail Program,120,Clairlea-Birchmount,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Clairlea-Birchmount,120
3701,69797665,"Toronto Bail Program - Toronto Bail Program, Metro North",Bail Program,27,York University Heights,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,York University Heights,27
3702,69797662,"Toronto Bail Program - Toronto Bail Program, Metro West",Bail Program,22,Humbermede,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Humbermede,22
3703,69797659,"Toronto Bail Program - Toronto Bail Program, Old City Hall",Bail Program,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3704,69801072,Toronto Crime Stoppers - Toronto Crime Stoppers,Crime Stoppers,169,Bay-Cloverhill,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3705,69794120,Toronto Drug Treatment Court - Toronto Drug Treatment Court,CAMH; Drug Treatment Court; LAO; Ontario Court of Justice; TDTC,170,Yonge-Bay Corridor,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
3706,69795857,Toronto Police Service - Toronto Police Service,Collision Reporting Centres; Community Partnership and Engagement; Divisional Policing Support Unit; HT1; Parking Enforcement; Police Department; Project Guide: A Guide for Sexual Assault Survivors; TPS; YourChoice.to,169,Bay-Cloverhill,"Legal Services (Abuse,Safety)",Legal Services & Abuse/Safety,Bay Street Corridor,76
